"Mas","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alphat","nuTilda","nut","p","pFluc","pMean","rho"
0.81278,1.1651,-0.022081,0,284.24,0,0,0,7.6113e-05,0,8.0614e-05,65628,-8385.6,74013,0.80253
0.80871,1.1652,-0.021905,0,283.95,0,0,0,7.7817e-05,0,8.1996e-05,65897,-8083.9,73980,0.80665
0.80709,1.1653,-0.021729,0,283.83,0,0,0,7.7387e-05,0,8.1378e-05,66004,-7868.1,73872,0.80831
0.80691,1.1655,-0.021555,0,283.69,0,0,0,7.4822e-05,0,7.8631e-05,66015,-7766.1,73782,0.80883
0.80604,1.1656,-0.021381,0,283.59,0,0,0,7.3664e-05,0,7.7317e-05,66072,-7680.1,73753,0.80984
0.80482,1.1657,-0.021207,0,283.75,0,0,0,7.385e-05,0,7.7462e-05,66153,-7548.1,73701,0.81037
0.80533,1.1658,-0.021033,0,283.66,0,0,0,7.4921e-05,0,7.8601e-05,66119,-7516.7,73636,0.8102
0.81113,1.1659,-0.020858,0,283.59,0,0,0,6.4124e-05,0,6.7585e-05,65737,-7849.4,73586,0.80572
0.81779,1.166,-0.020684,0,283.33,0,0,0,2.6249e-05,0,2.7838e-05,65298,-8206.9,73505,0.80107
0.81836,1.1661,-0.02051,0,282.72,0,0,0,0,0,0,65260,-8091.4,73352,0.80233
0.81485,1.1662,-0.020336,0,282.92,0,0,0,0,0,0,65492,-7571.7,73063,0.80461
0.81244,1.1663,-0.020165,0,283.29,0,0,0,0,0,0,65651,-7221.1,72872,0.80551
0.81035,1.1664,-0.019993,0,283.32,0,0,0,0,0,0,65788,-7108.6,72897,0.80711
0.80811,1.1666,-0.019822,0,283.27,0,0,0,0,0,0,65936,-6954.1,72890,0.80906
0.80762,1.1667,-0.019651,0,283.13,0,0,0,0,0,0,65968,-6841.8,72810,0.80986
0.80897,1.1668,-0.019479,0,282.83,0,0,0,0,0,0,65880,-6819.4,72699,0.80963
0.81225,1.1669,-0.019308,0,282.36,0,0,0,0,0,0,65663,-6906,72569,0.80831
0.81801,1.167,-0.019136,0,281.59,0,0,0,0,0,0,65283,-7142.1,72425,0.80582
0.82135,1.1671,-0.018965,0,281.48,0,0,0,0,0,0,65063,-7109.1,72172,0.80342
0.81646,1.1672,-0.018796,0,282.2,0,0,0,0,0,0,65386,-6557.4,71943,0.80536
0.80726,1.1674,-0.018628,0,282.91,0,0,0,0,0,0,65993,-5852.2,71845,0.81078
0.81122,1.1675,-0.018459,0,282.6,0,0,0,0,0,0,65731,-6026.5,71757,0.80844
0.83128,1.1676,-0.018291,0,280.74,0,0,0,0,0,0,64409,-7301.5,71710,0.79742
0.84383,1.1677,-0.018122,0,279.35,0,0,0,0,0,0,63583,-8082.6,71665,0.79113
0.83531,1.1678,-0.017954,0,279.74,0,0,0,0,0,0,64143,-7384.9,71528,0.79698
0.81988,1.1679,-0.017785,0,280.91,0,0,0,0,0,0,65160,-6164.3,71324,0.80624
0.26084,1.1694,-0.019262,0,288.54,0,0,0,0,0,0,96643,1072.6,95571,1.1642
0.29079,1.1695,-0.019173,0,287.53,0,0,0,0,0,0,95549,-159.97,95709,1.1551
0.30432,1.1696,-0.01908,0,286.94,0,0,0,0,0,0,95021,-832.34,95854,1.151
0.2789,1.1697,-0.018981,0,287.69,0,0,0,0,0,0,95996,-21.354,96017,1.1598
0.24928,1.1698,-0.01888,0,288.52,0,0,0,0,0,0,97038,886.89,96151,1.1691
0.25713,1.1699,-0.018774,0,288.24,0,0,0,0,0,0,96772,535.53,96236,1.167
0.27835,1.17,-0.018662,0,287.56,0,0,0,0,0,0,96016,-298.79,96315,1.1606
0.28392,1.1701,-0.018545,0,287.33,0,0,0,0,0,0,95809,-565.29,96374,1.159
0.28061,1.1702,-0.018422,0,287.4,0,0,0,0,0,0,95932,-485.07,96417,1.1602
0.27367,1.1703,-0.018293,0,287.66,0,0,0,0,0,0,96187,-273.55,96460,1.1622
0.25733,1.1704,-0.018157,0,288.22,0,0,0,0,0,0,96765,216.31,96549,1.167
0.26374,1.1706,-0.018016,0,288.06,0,0,0,0,0,0,96542,-98.801,96641,1.1649
0.29282,1.1707,-0.017869,0,287.1,0,0,0,0,0,0,95471,-1196.9,96668,1.1558
0.28347,1.1709,-0.017714,0,287.35,0,0,0,0,0,0,95826,-857.27,96683,1.1591
0.24304,1.171,-0.017552,0,288.59,0,0,0,0,0,0,97244,502.07,96742,1.1712
0.24282,1.1712,-0.017382,0,288.62,0,0,0,0,0,0,97252,397.76,96854,1.1712
0.27217,1.1714,-0.017204,0,287.65,0,0,0,0,0,0,96241,-721.23,96963,1.1629
0.27174,1.1716,-0.01702,0,287.55,0,0,0,0,0,0,96257,-740.68,96998,1.1635
0.25102,1.1718,-0.016828,0,288.14,0,0,0,0,0,0,96980,-36.16,97016,1.1699
0.25027,1.172,-0.016625,0,288.14,0,0,0,0,0,0,97005,-57.896,97063,1.1702
0.2523,1.1722,-0.016412,0,288.02,0,0,0,0,0,0,96936,-166.29,97103,1.1698
0.23779,1.1725,-0.016189,0,288.38,0,0,0,0,0,0,97414,239.15,97175,1.1741
0.23454,1.1727,-0.015967,0,288.46,0,0,0,0,0,0,97518,218.44,97300,1.1751
0.23243,1.1729,-0.015744,0,288.45,0,0,0,0,0,0,97585,118.02,97467,1.1759
0.21612,1.1732,-0.015527,0,288.77,0,0,0,0,0,0,98081,491.61,97589,1.1806
0.21539,1.1734,-0.015312,0,288.75,0,0,0,0,0,0,98102,466.92,97635,1.1809
0.22261,1.1736,-0.015096,0,288.54,0,0,0,0,0,0,97887,205.27,97682,1.1792
0.21847,1.1739,-0.014881,0,288.63,0,0,0,0,0,0,98011,281.9,97729,1.1803
0.22089,1.1741,-0.014666,0,288.55,0,0,0,0,0,0,97939,140.75,97798,1.1798
0.22001,1.1743,-0.01445,0,288.56,0,0,0,0,0,0,97965,61.592,97904,1.1801
0.20341,1.1746,-0.014235,0,288.92,0,0,0,0,0,0,98444,399.7,98044,1.1843
0.20706,1.1748,-0.014024,0,288.75,0,0,0,0,0,0,98342,171.76,98170,1.1838
0.21355,1.1751,-0.013815,0,288.52,0,0,0,0,0,0,98156,-76.426,98232,1.1825
0.18925,1.1753,-0.013607,0,289.05,0,0,0,0,0,0,98825,560.44,98265,1.1884
0.18692,1.1756,-0.013399,0,289.11,0,0,0,0,0,0,98885,586.76,98298,1.1889
0.21123,1.1758,-0.01319,0,288.53,0,0,0,0,0,0,98223,-136.08,98359,1.1833
0.19683,1.176,-0.012982,0,288.84,0,0,0,0,0,0,98624,175.3,98449,1.1868
0.16821,1.1763,-0.012774,0,289.43,0,0,0,0,0,0,99343,772.82,98571,1.193
0.18009,1.1765,-0.012569,0,289.12,0,0,0,0,0,0,99058,360.78,98697,1.1909
0.18993,1.1768,-0.012368,0,288.83,0,0,0,0,0,0,98807,42.863,98765,1.1891
0.17808,1.177,-0.012166,0,289.05,0,0,0,0,0,0,99107,324.03,98783,1.1918
0.18586,1.1773,-0.011965,0,288.88,0,0,0,0,0,0,98912,107.26,98805,1.1901
0.19548,1.1775,-0.011764,0,288.65,0,0,0,0,0,0,98661,-192.6,98853,1.1881
0.17123,1.1778,-0.011563,0,289.14,0,0,0,0,0,0,99273,348.04,98925,1.1934
0.16019,1.178,-0.011362,0,289.35,0,0,0,0,0,0,99526,498.79,99027,1.1956
0.17358,1.1783,-0.011163,0,289.02,0,0,0,0,0,0,99217,65.63,99151,1.1932
0.15759,1.1785,-0.010969,0,289.25,0,0,0,0,0,0,99583,368,99215,1.1967
0.13817,1.1788,-0.010775,0,289.57,0,0,0,0,0,0,99983,768.23,99214,1.2001
0.15949,1.1791,-0.010581,0,289.19,0,0,0,0,0,0,99541,316.53,99225,1.1964
0.16686,1.1793,-0.010386,0,289.03,0,0,0,0,0,0,99375,98.642,99276,1.1951
0.14283,1.1796,-0.010192,0,289.46,0,0,0,0,0,0,99891,547.75,99343,1.1995
0.14171,1.1798,-0.0099982,0,289.49,0,0,0,0,0,0,99913,498.64,99415,1.1997
0.15062,1.1801,-0.0098058,0,289.27,0,0,0,0,0,0,99732,210.53,99522,1.1984
0.13282,1.1803,-0.0096188,0,289.5,0,0,0,0,0,0,1.0008e+05,494.75,99589,1.2017
0.13015,1.1806,-0.0094317,0,289.54,0,0,0,0,0,0,1.0013e+05,549.28,99583,1.2021
0.14474,1.1809,-0.0092447,0,289.29,0,0,0,0,0,0,99853,265.08,99588,1.1997
0.8128,1.168,-0.017684,0,281.53,0,0,0,0,0,0,65627,-5471.1,71098,0.81025
0.82639,1.1681,-0.017578,0,280.62,0,0,0,0,0,0,64731,-6089.4,70820,0.80174
0.85386,1.1682,-0.017469,0,278.54,0,0,0,0,0,0,62924,-7717.3,70641,0.78521
0.86631,1.1682,-0.017354,0,277.19,0,0,0,0,0,0,62107,-8510.4,70618,0.77881
0.8469,1.1683,-0.017233,0,278.46,0,0,0,0,0,0,63381,-7195.7,70577,0.79108
0.81968,1.1684,-0.017106,0,280.87,0,0,0,0,0,0,65173,-5320.8,70494,0.80652
0.82698,1.1685,-0.016973,0,280.54,0,0,0,0,0,0,64692,-5750.8,70443,0.80149
0.85347,1.1686,-0.016833,0,278.2,0,0,0,0,0,0,62950,-7463.9,70413,0.78646
0.86615,1.1687,-0.016686,0,276.79,0,0,0,0,0,0,62118,-8194,70312,0.78007
0.85767,1.1689,-0.016532,0,277.09,0,0,0,0,0,0,62674,-7470.2,70144,0.78616
0.84422,1.169,-0.01637,0,278.18,0,0,0,0,0,0,63557,-6390.4,69948,0.79414
0.84691,1.1691,-0.016201,0,278.32,0,0,0,0,0,0,63380,-6380,69760,0.79153
